Ref,Val,Package,PosX,PosY,Rot,Side
"C1","CAP-4.7U-20%-10V-X5R-0402_001","C_0402_1005Metric",-10.287000,14.986000,180.000000,bottom
"C2","CAP-4.7U-20%-10V-X5R-0402_001","C_0402_1005Metric",-10.287000,13.716000,180.000000,bottom
"C3","CAP-4.7U-20%-10V-X5R-0402_001","C_0402_1005Metric",-29.591000,15.494000,180.000000,bottom
"C4","CAP-4.7U-20%-10V-X5R-0402_001","C_0402_1005Metric",-29.591000,16.510000,180.000000,bottom
"C5","CAP-4.7U-20%-10V-X5R-0402_001","C_0402_1005Metric",-29.591000,17.526000,180.000000,bottom
"C6","CAP-4.7U-20%-10V-X5R-0402_001","C_0402_1005Metric",-29.591000,18.542000,180.000000,bottom
"C7","CAP-4.7U-20%-10V-X5R-0402_001","C_0402_1005Metric",-32.766000,14.351000,0.000000,bottom
"C8","CAP-1U-10%-25V-X5R-0402_001","C_0402_1005Metric",-35.918000,18.592800,0.000000,bottom
"C9","CAP-1U-10%-25V-X5R-0402_001","C_0402_1005Metric",-35.941000,15.417800,180.000000,bottom
"C10","CAP-1U-10%-25V-X5R-0402_001","C_0402_1005Metric",-35.433000,17.018000,90.000000,bottom
"FID2","FID_001","Fiducial_0.5mm_Mask1mm",-23.495000,2.540000,0.000000,bottom
"FID3","FID_001","Fiducial_0.5mm_Mask1mm",-10.795000,22.860000,0.000000,bottom
"FID6","FID_001","Fiducial_0.5mm_Mask1mm",-36.830000,24.765000,0.000000,bottom
"J3","PJ-320D","TRRS-PJ-320D",-11.430000,6.985000,90.000000,bottom
"J4","PJ-320D","TRRS-PJ-320D",-31.750000,6.985000,90.000000,bottom
"L1","FERR-BEAD-80OHM@100MHZ-0.8A-0.2OHM-0603","L_0603_1608Metric",-35.433000,14.097000,180.000000,bottom
"R1","RES-330-1%-0.063W-0402_001","R_0402_1005Metric",-31.877000,21.209000,270.000000,bottom
"R2","RES-33K-1%-0.063W-0402_001","R_0402_1005Metric",-30.480000,21.272500,90.000000,bottom
"R3","RES-330-1%-0.063W-0402_001","R_0402_1005Metric",-33.655000,21.209000,270.000000,bottom
"R4","RES-33K-1%-0.063W-0402_001","R_0402_1005Metric",-35.052000,21.336000,90.000000,bottom
"R5","RES-33K-1%-0.063W-0402_001","R_0402_1005Metric",-37.058600,17.018000,270.000000,bottom
"U1","PAM8908","QFN-16-1EP_3x3mm_P0.5mm_EP1.75x1.75mm_ThermalVias_0.3mm",-32.766000,17.018000,0.000000,bottom
"FID1","FID_001","Fiducial_0.5mm_Mask1mm",25.654000,10.795000,0.000000,top
"FID4","FID_001","Fiducial_0.5mm_Mask1mm",8.128000,19.304000,0.000000,top
"FID5","FID_001","Fiducial_0.5mm_Mask1mm",37.592000,1.016000,0.000000,top
"SW1","SW_PUSH_6X6_002","SW_Push_1P1T_NO_6x6mm_H6mm",10.795000,5.080000,0.000000,top
"SW2","SW_PUSH_6X6_002","SW_Push_1P1T_NO_6x6mm_H6mm",32.385000,5.080000,0.000000,top
